residence_name,website_url,associated_brand,brief_subtitle,brief_description,budget_start_range,budget_end_range,city,country,address
Alila Bangsar,https://www.alilahotels.com/bangsar/,Alila,Elevate your senses with panoramic cityscape views from the sky-high infinity pool.,"This vibrant residence boasts breathtaking skyline views, luxurious amenities, and a prime location near cultural hotspots and green spaces.",400,800,Kuala Lumpur,Malaysia,"58, Jalan Ang Seng, Bangsar, 50470 Kuala Lumpur, Malaysia."
Alila Uluwatu Villas,https://www.alilahotels.com/uluwatu,Alila,Bask in luxurious cliffside villas with breathtaking ocean views and private infinity pools.,"These luxurious villas offer breathtaking ocean views, private infinity pools, and direct access to a stunning cliffside beach.",5000,3000,Bali,Indonesia,"Alila Villas Uluwatu, Jl. Belimbing Sari, Banjar Tambiyak, Uluwatu, Bali 80364, Indonesia."
Aman Maldives,https://www.aman.com/aman-maldives,Aman,Discover pristine overwater villas with breathtaking ocean views and unparalleled privacy.,"Set on a private island, this luxurious residence boasts unparalleled ocean views, expansive villas with private pools, and exclusive dining experiences.",1500,1200,,Maldives,Republic of Maldives.
Amankila,https://www.aman.com/resorts/amankila/residences,Aman,"Tiered like a majestic Balinese temple, its infinity pools cascade to paradise.","Overlooking the stunning Lombok Strait, this luxurious residence boasts private infinity pools and direct access to pristine beaches.",3000,5000,Bali,Indonesia,"Amankila, Manggis, Karangasem, Bali, Indonesia."
Aman Residences,https://www.aman.com/aman-beverly-hills,Aman,Discover breathtaking panoramic views and serene luxury in every exquisite detail.,"Offering breathtaking views of the Hollywood Hills and unparalleled access to luxury amenities, this residence redefines opulent living.",5000000,100000000,Los Angeles,United States,"Aman Residences, Beverly Hills  
9000 Wilshire Blvd, Beverly Hills, CA 90211, USA"
"Aman Residences, Amanjiwo",https://www.aman.com/resorts/amanjiwo/villas-to-own,Aman,Discover serene luxury amid breathtaking views of ancient Borobudur's majestic silhouette.,"Overlooking the stunning Borobudur Temple, this residence offers unparalleled tranquility with private gardens and bespoke wellness experiences.",2000000000,1000000000,Central Java,Indonesia,"Aman Residences, Amanjiwo, Jl. Borobudur, Karangrejo, Borobudur, Magelang, Central Java, Indonesia."
Aman Nai Lert,https://www.aman.com/hotels/aman-nai-lert-bangkok/residences,Aman,A serene urban sanctuary where lush heritage gardens embrace modern luxury living.,"This exceptional residence boasts breathtaking views of the city's lush greenery and the Chao Phraya River, complemented by unparalleled access to serene gardens and exclusive amenities.",20000,15000,Bangkok,Thailand,"Aman Nai Lert, 123, 123/1 Wireless Road, Lumpini, Pathumwan, Bangkok 10330, Thailand."
Aman Niseko,https://www.aman.com/hotels/aman-nai-lert-bangkok/residences,Aman,Discover serene luxury with panoramic mountain views from your private onsen retreat.,"Overlooking the breathtaking slopes of Hokkaido, this residence boasts unparalleled access to world-class skiing and serene mountain vistas.",70000,1000000000,Hokkaido,Japan,"Aman Niseko, 159-1 Aza Yamada, Kutchan-cho, Abuta-gun, Hokkaido 044-0081, Japan."
Amangiri,https://www.aman.com/resorts/amangiri/residences,Aman,"Bask in luxurious desert serenity, where stunning canyons meet exquisite modern design.","This luxurious desert retreat boasts breathtaking views of dramatic rock formations, a stunning infinity pool, and unparalleled access to outdoor adventures.",3500,8000,Canyon Point,United States,"Amangiri, 1 Kayenta Road, Canyon Point, Utah 84741, USA."
Aman,https://www.aman.com/aman-miami-beach/residences,Aman,A serene oceanfront sanctuary blending Japanese minimalism with Miami’s vibrant energy.,"This luxurious residence boasts stunning ocean views, private beach access, and bespoke amenities, redefining coastal living in Miami Beach.",1000,2000,Miami,United States,"3425 Collins Ave, Miami Beach, FL 33140, USA."
