residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,build_year,rental_potential,development_status,floor_area_sqft,pet_friendly,accessible,no_of_units,city,country,associated_brand,brief_subtitle,feature_names,brief_description,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,confidence_score
Alila Bangsar,https://www.alilahotels.com/bangsar/,"58, Jalan Ang Seng, Bangsar, 50470 Kuala Lumpur, Malaysia.",164000,190,106000,426000,2017,high,completed,6.673,no,yes,646,Kuala Lumpur,Malaysia,Alila,Elevate your senses with panoramic cityscape views from the sky-high infinity pool.,"butler’s pantry/service kitchen, fitness room/gym, private elevator, private pool","This vibrant residence boasts breathtaking skyline views, luxurious amenities, and a prime location near cultural hotspots and green spaces.","Swimming Pool, Gym, Concierge Services, On-site Restaurant/Café, Housekeeping Services, Parking Space/Garage","24h reception, accessible, airport transfer, free wi-fi, in-room safe, meeting rooms, minibar (on request), non-smoking rooms, soundproof rooms",Swimming Pool,Gym,Concierge Services,86
Alila Uluwatu Villas,https://www.alilahotels.com/uluwatu,"Alila Villas Uluwatu, Jl. Belimbing Sari, Banjar Tambiyak, Uluwatu, Bali 80364, Indonesia.",1200000,400,900000,2500000,2009,high,completed,1.000.000,no,yes,65,Bali,Indonesia,Alila,Bask in luxurious cliffside villas with breathtaking ocean views and private infinity pools.,"butler’s pantry/service kitchen, fitness room/gym, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area","These luxurious villas offer breathtaking ocean views, private infinity pools, and direct access to a stunning cliffside beach.","Swimming Pool, Gym, Spa, Concierge Services, On-site Restaurant/Café, Parking Space/Garage, Housekeeping Services","aerial yoga, espresso machine, in-villa dining, luxury linens, minibar, no-plastic policy, on-site organic gardens, organic bathroom amenities, stand-up paddleboard yoga, sunset cabana bar, sustainability initiatives, yoga pavilion, zero-waste policy",Swimming Pool,Spa,Concierge Services,92
Aman Maldives,https://www.aman.com/aman-maldives,"Vaavu Atoll, Maldives",1500000,1000,1200000,3000000,2025,high,planned,1.000.000,no,yes,16,Vaavu Atoll,Maldives,Aman,Discover pristine overwater villas with breathtaking ocean views and unparalleled privacy.,"private balcony/terrace, private pool, spa/wellness area","Set on a private island, this luxurious residence boasts unparalleled ocean views, expansive villas with private pools, and exclusive dining experiences.","Swimming Pool, Spa, On-site Restaurant/Café","beach club, dive centre, personal landing jetty, watersport activities",Swimming Pool,Spa,On-site Restaurant/Café,88
"Aman Residences, Amankila",https://www.aman.com/resorts/amankila/residences,"Amankila, Jl. Raya Manggis Jl. Amankila Resorts, Manggis, Karangasem Regency, Bali 80871, Indonezija",3500000,1000,3000000,4000000,2025,high,planned,55.000,no,yes,11,Bali,Indonesia,Aman,"Tiered like a majestic Balinese temple, its infinity pools cascade to paradise.","butler’s pantry/service kitchen, fitness room/gym, garden/yard, library/study, private balcony/terrace, private pool, spa/wellness area
","Overlooking the stunning Lombok Strait, this luxurious residence boasts private infinity pools and direct access to pristine beaches.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Parking Space/Garage, Housekeeping Services, Valet Parking, Airport Transfer, Gym, Business Center, Tennis Courts","air conditioning, bar, beach club, boutique, coffee machine, cooking classes, gift shop, helipad, in-room dining, personal bar, safe, scuba diving), snorkeling, sound system, sustainability initiatives, water sports (kayaking, yoga pavilion",Swimming Pool,Spa,Tennis Courts,90
"Aman Residences, Beverly Hills",https://www.aman.com/aman-beverly-hills,"Aman Residences, Beverly Hills  
9000 Wilshire Blvd, Beverly Hills, CA 90211, USA",12000000,4000,9000000,25000000,2027,high,under construction,1.400.000,no,yes,177,Los Angeles,United States,Aman,Discover breathtaking panoramic views and serene luxury in every exquisite detail.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, guest house/guest suite, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","Offering breathtaking views of the Hollywood Hills and unparalleled access to luxury amenities, this residence redefines opulent living.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Parking Space/Garage, Housekeeping Services, Valet Parking, Airport Transfer, Gym, Business Center","cold plunge pools, cryotherapy chamber, experiential showers), floor-to-ceiling windows, flourishing native flora, hair & nail salon, hot tubs, hydrotherapy facilities (dry and steam saunas, lofty interiors, movement studio, natural materials (stone and wood), neutral color palette, pedestrian walkways, pilates studio, secluded dining venues, sustainability initiatives, yoga studio",Swimming Pool,Spa,Business Center,92
"Aman Residences, Amanjiwo",https://www.aman.com/resorts/amanjiwo/villas-to-own,"Aman Residences, Amanjiwo, Jl. Borobudur, Karangrejo, Borobudur, Magelang, Central Java, Indonesia.",3500000,1000,3000000,4000000,2025,high,under construction,10.000,no,yes,4,Central Java,Indonesia,Aman,Discover serene luxury amid breathtaking views of ancient Borobudur's majestic silhouette.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, library/study, outdoor kitchen/bbq area, private balcony/terrace, private pool, spa/wellness area
","Overlooking the stunning Borobudur Temple, this residence offers unparalleled tranquility with private gardens and bespoke wellness experiences.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Parking Space/Garage, Housekeeping Services, Valet Parking, Airport Transfer, Gym, Tennis Courts","art gallery, boutique, cultural experiences, sustainability initiatives, yoga pavilion",Swimming Pool,Spa,Tennis Courts,90
"Aman Residences, Nai Lert",https://www.aman.com/hotels/aman-nai-lert-bangkok/residences,"Aman Nai Lert, 123, 123/1 Wireless Road, Lumpini, Pathumwan, Bangkok 10330, Thailand.",1400000,1250,1400000,6000000,2024,high,completed,603.629,yes,yes,34,Bangkok,Thailand,Aman,A serene urban sanctuary where lush heritage gardens embrace modern luxury living.,"butler’s pantry/service kitchen, fitness room/gym, garden/yard, guest house/guest suite, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","This exceptional residence boasts breathtaking views of the city's lush greenery and the Chao Phraya River, complemented by unparalleled access to serene gardens and exclusive amenities.","Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center","cold plunge pools, cryotherapy chamber, experiential showers, floor-to-ceiling windows, flourishing native flora, hair & nail salon, hot tubs, hydrotherapy facilities (dry and steam saunas, lofty interiors, movement studio, natural materials (stone and wood), neutral color palette, pedestrian walkways, pilates studio, secluded dining venues, sustainability initiatives, yoga studio",Swimming Pool,Spa,Business Center,95
"Aman Residences, Niseko",https://www.aman.com/hotels/aman-nai-lert-bangkok/residences,"Aman Niseko, 159-1 Aza Yamada, Kutchan-cho, Abuta-gun, Hokkaido 044-0081, Japan.",5000000,1250,4000000,6500000,2027,high,under construction,310.000,no,yes,31,Hokkaido,Japan,Aman,Discover serene luxury with panoramic mountain views from your private onsen retreat.,"butler’s pantry/service kitchen, chef’s kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","Overlooking the breathtaking slopes of Hokkaido, this residence boasts unparalleled access to world-class skiing and serene mountain vistas.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Parking Space/Garage, Housekeeping Services, Valet Parking, Airport Transfer, Gym, Business Center","boutique, cold plunge pools, experience showers, finnish saunas, fireplace, furo bathtubs, gallery, hammam, ski lockers, steam rooms, sustainability initiatives, watsu treatment chamber, whiskey and cigar lounge, yoga and pilates studios",Swimming Pool,Spa,On-site Restaurant/Café,90
"Aman Residences, Amangiri",https://www.aman.com/resorts/amangiri/residences,"Amangiri, 1 Kayenta Road, Canyon Point, Utah 84741, USA.",8750000,1250,5000000,12500000,2025,high,under construction,120.000,yes,yes,12,Canyon Point,United States,Aman,"Bask in luxurious desert serenity, where stunning canyons meet exquisite modern design.","butler’s pantry/service kitchen, chef’s kitchen, fitness room/gym, library/study, outdoor kitchen/bbq area, panoramic views, private balcony/terrace, private pool, spa/wellness area","This luxurious desert retreat boasts breathtaking views of dramatic rock formations, a stunning infinity pool, and unparalleled access to outdoor adventures.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Parking Space/Garage, Housekeeping Services, Valet Parking, Airport Transfer, Gym, Business Center","art gallery, boutique, carbon neutral design, desert lounge, experience showers, fire pits, floor-to-ceiling windows, guided hikes, hammam, horseback riding, in-room dining, natural materials (stone and wood), personal bars, pilates studio, rock climbing, sauna, sky terraces, sustainability initiatives, via ferrata, yoga pavilion",Swimming Pool,Spa,On-site Restaurant/Café,92
"Aman Residences, Miami Beach",https://www.aman.com/aman-miami-beach/residences,"3425 Collins Ave, Miami Beach, FL 33140, USA.",20000000,4000,15000000,30000000,2026,high,under construction,444.000,no,yes,22,Miami Beach,United States,Aman,A serene oceanfront sanctuary blending Japanese minimalism with Miami’s vibrant energy.,"butler’s pantry/service kitchen, fitness room/gym, home office, panoramic views, private balcony/terrace, private elevator, private pool, spa/wellness area, wine cellar/wine room","This luxurious residence boasts stunning ocean views, private beach access, and bespoke amenities, redefining coastal living in Miami Beach.","Swimming Pool, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Valet Parking, Gym","aman club, art deco inspired design, exclusive dining venues, floor-to-ceiling windows, high-efficiency hvac, stainless steel appliances, sustainability initiatives",Swimming Pool,Spa,On-site Restaurant/Café,95
