residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,associated_brand,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,brief_subtitle,brief_description
Cassia,https://www.banyangroupresidences.com/thailand/phuket/cassia-phuket,"64 Moo 4, Srisoonthorn Road, Choeng Thale",250000,581,150000,400000,430,307,2015,completed,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket",Swimming Pool,Gym,Tennis Courts,,Experience luxurious tranquility with stunning ocean views and lush tropical gardens.,"Overlooking stunning ocean vistas, this residence boasts private infinity pools, direct beach access, and lush tropical gardens for ultimate relaxation."
Garrya Residences,https://www.banyangroupresidences.com/thailand/phuket/garrya-residences-phuket,"6/2 Soi Ta-iad, Chalong, Phuket, Thailand.",1000000,833,927000,1500000,1200,38,2025,under construction,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket​
",Swimming Pool,Gym,Tennis Courts,,"Overlooking serene ocean vistas, these luxurious hillside retreats blend modern elegance with tranquil privacy.","Garrya Residences boasts breathtaking ocean views and private access to pristine beaches, combining luxury living with serene nature."
"Laguna Beach Residences, Bayside",https://www.banyangroupresidences.com/thailand/phuket/laguna-beach-residences-bayside,"97/1 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand.",750000,833,400000,1200000,900,76,2018,completed,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​
","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket​
",Swimming Pool,Gym,Tennis Courts,,Experience unparalleled luxury with breathtaking ocean views and private infinity pools.,"Laguna Beach Residences in Phuket boasts stunning ocean views and direct access to pristine beaches, enhancing luxury living."
Laguna Lakelands Lakeview Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakelands-lakeview-residences,"66/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand.",450000,581,250000,750000,775,100,2026,under construction,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​
","Private Infinity Edge Pools, Rooftop Infinity Pool, Lake Views, 2–3 Bedroom Units, Various Layouts, Spacious Residences",Swimming Pool,Gym,Tennis Courts,,Experience serene lakeside living with stunning views and lush tropical landscapes.,"Overlooking serene lagoons and lush landscapes, these residences boast private pools, expansive terraces, and unparalleled access to pristine beaches."
Laguna Lakelands Waterfront Villas,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakelands-waterfront-villas,"29/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket 83110, Thailand.",1700000,282,1600000,1800000,6026,14,2025,under construction,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​
","Private Beach Club, 15 km of scenic walkways and cycling trails, hillside adventure park, sports and aquatic complex, community center, retail and dining facilities, owner's concierge service, pet-friendly policy, and lagoon and mountain views",Swimming Pool,Gym,Tennis Courts,,Experience unparalleled luxury with serene lakefront villas offering breathtaking sunset views.,"Offering breathtaking sunset views over tranquil lagoons, these villas feature private infinity pools and direct beach access."
Laguna Lakeside 2 Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-lakeside-2-residences,"351, 351/1 Moo 6, Choeng Thale, Thalang District, Phuket 83110, Thailand.",290000,581,145000,435000,499,130,2024,completed,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket​
",Swimming Pool,Gym,Tennis Courts,,Experience unparalleled luxury with breathtaking lakeside views and serene tropical surroundings.,"Laguna Lakeside 2 Residences boasts stunning lake views, private access to pristine beaches, and exclusive amenities for ultimate relaxation."
Laguna Seaside Residences,https://www.banyangroupresidences.com/thailand/phuket/laguna-seaside-residences,"95/2 Moo 4, Srisoonthorn Road, Cherngtalay, Thalang, Phuket, Thailand.",400000,667,200000,600000,600,150,2022,completed,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​
","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket​",Swimming Pool,Gym,Tennis Courts,,Experience unparalleled luxury living with breathtaking ocean views and lush tropical gardens.,"Laguna Seaside Residences boasts stunning beachfront views and direct access to pristine white sands, enhancing luxury living in Phuket."
Skypark Celeste Laguna,https://www.banyangroupresidences.com/thailand/phuket/skypark-celeste-laguna-phuket,"Phuket, Thailand.",250000,581,116000,400000,430,384,2024,completed,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts, Kids Play Area
","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket",Swimming Pool,Tennis Courts,Kids Play Area,,"Elevated above lush lagoons, this sanctuary offers panoramic rooftop infinity pools.",Skypark Celeste Laguna boasts breathtaking panoramic views of the Andaman Sea and unique access to private beachfront amenities.
Skypark Elara Lakelands,https://www.banyangroupresidences.com/thailand/phuket/skypark-elara-lakelands-phuket,"Phuket, Thailand.",350000,833,216000,600000,420,220,2027,under construction,high,yes,yes,90,Phuket,Thailand,Banyan Tree,,"Swimming Pool, Gym, Spa, On-site Restaurant/Café, Concierge Services, Housekeeping Services, Business Center, Tennis Courts​","Private Beach, In-suite Kitchen, Free Wi-Fi, Lazy Breakfast Service, Pet Amenities, Kids Club, Co-working Space, Shuttle Boat Service, Shuttle Bus Service, Golf Course, BBQ Facilities, Yoga, Play Play (Children's Playground), Market23 (Grocery Store), Yak Thai Tattoo Studio, Cassia Tuk Tuk, Cassia Jetty, Laguna Shuttle, Laguna Golf Phuket​
",Swimming Pool,Gym,Tennis Courts,,Experience breathtaking panoramic views from your luxurious oasis amidst lush greenery.,"Skypark Elara Lakelands boasts breathtaking panoramic views of lush mountains and serene lakes, complemented by luxurious amenities and unparalleled privacy."
Angsana Residences,https://www.banyangroupresidences.com/vietnam/ho-tram/angsana-residences-ho-tram,"Coastal Road, Phuoc Thuan",1200000,833,800000,1600000,1442,52,2023,completed,high,yes,yes,98,Hồ Tràm,Vietnam,Banyan Tree,,"Swimming Pool, Gym, Spa, Golf Course Access, Private Beach Access
","Private Pools, Jet Tubs, Serenity Stream Walk, Modern Fitness Equipment, Towels, Rejuvenating Drinks, Angsana Spa and Gallery, Aromatherapy, Therapeutic Touch, Proximity to Binh Chau Hot Springs, Binh Chau-Phuoc Buu Nature Reserve, Minh Dam Mountain, Direct Beach Access via Serenity Stream Walk
",Swimming Pool,Gym,Spa,,Experience unparalleled luxury with breathtaking ocean views and private beach access.,"Overlooking pristine beaches and lush greenery, these residences boast unparalleled ocean views, private infinity pools, and direct beach access."
