residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence_score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
"Edition Residences, Miami Edgewater",https://www.editionresidencesedgewater.com/,"Edition Residences, Miami Edgewater  
300 Biscayne Blvd Way  
Miami, FL 33137  
United States",3500000,1600,1955000,8500000,2188,185,2027,under construction,high,yes,yes,91,Miami,United States,"Private terraces, fitness center, spa facilities, private movie theater","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, valet parking, rooftop pool terrace, waterfront boardwalk, doorman service",Rooftop pool terrace with bay views,Private waterfront boardwalk,24-hour concierge service,10,Edition,Immerse in unparalleled bayfront luxury with private rooftop pools and skyline views.,"Offering breathtaking waterfront views and exclusive access to a private beach club, this residence redefines luxury living in Edgewater."
Fairmont Heritage Place Diamante,https://www.fairmont.com/acapulco-diamante/accommodations/,"Av. Costa Azul 1, Diamante, 39907 Acapulco, Guerrero, Mexico.",1200000,400,950000,1800000,3000,34,2008,completed,medium,no,yes,93,Acapulco,Mexico,"Private plunge pool per residence, fitness center, beach club, private terraces","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, beach access, kids’ club, spa facilities, shuttle service",Private plunge pool per residence,Revolcadero Beach access,Three-bedroom oceanfront villas,10,Fairmont,Discover unparalleled luxury with private beachfront villas offering breathtaking Pacific sunsets.,"Overlooking the stunning Pacific Ocean, this exclusive residence boasts luxurious amenities, private infinity pools, and unparalleled sunset views."
Fairmont Heritage Place Mayakoba,https://www.fairmont.com/heritage-place-mayakoba/accommodations/,"Carretera Federal 307, Km 298, 77710 Playa del Carmen, Quintana Roo, Mexico.",2500000,830,1800000,4500000,3000,43,2016,completed,high,yes,yes,94,Quintana Roo,Mexico,"Private plunge pool per residence, fitness center, golf course, beach club","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","24-hour concierge, beach access, kids’ club, spa facilities, marina access",El Camaleón 18-hole golf course,Private plunge pool per residence,Mayan-inspired spa treatments,12,Fairmont,Discover your private oasis with exclusive beach access and serene lagoon views.,"This luxurious residence boasts breathtaking views of pristine lagoons and direct access to an exclusive beach, enhancing every moment."
"Fairmont Heritage Place, Franz Klammer Lodge",https://www.fairmont.com/klammer-lodge-telluride/accommodations/,"Fairmont Heritage Place, Franz Klammer Lodge  
567 Mountain Village Blvd,  
Mountain Village, CO 81435,  
United States",2750000,1570,1900000,4500000,1750,63,1996,completed,high,yes,yes,94,Mountain Village,United States,"Golf course, fitness center, spa facilities, ski valet","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café, Golf","24-hour concierge, ski-in/ski-out access, kids’ club, game room, shuttle service",Telluride Ski Resort ski-in/ski-out access,Himmel Spa treatments,Heated indoor-outdoor pool,11,Fairmont,"Indulge in luxurious mountain living with ski-in, ski-out access and stunning views.","Offering breathtaking mountain views and ski-in/ski-out access, this luxurious residence boasts spacious accommodations and exceptional amenities."
Fairmont Mayakoba,https://www.fairmont.com/mayakoba-riviera-maya/accommodations/,"Carretera Federal 307, Km 298, 77710 Playa del Carmen, Quintana Roo, Mexico.",3000000,1000,2000000,5500000,3000,30,2006,completed,high,yes,yes,92,Quintana Roo,Mexico,"Golf course, fitness center, beach club, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café, Golf","Kids’ club, marina access, outdoor pursuits, eco-tours, comfort stations",El Camaleón 18-hole golf course by Greg Norman,Seven swimming pools including adults-only infinity,Willow Stream Spa with Mayan treatments,12,Fairmont,Discover a serene paradise where lush mangroves meet pristine Caribbean beaches.,"Set amidst lush mangroves and tranquil lagoons, this luxurious residence boasts stunning ocean views and unparalleled eco-friendly amenities."
Fairmont The Palm,https://www.fairmont.com/palm-dubai/accommodations/,"Sheikh Zayed Road, Palm Jumeirah, Dubai, UAE.",2450000,1225,1360000,4900000,2000,40,2012,completed,high,no,yes,93,Dubai,UAE,"Beach club, fitness center, spa facilities, kids’ splash park","Swimming Pool, Gym, Parking Space/Garage, Private Garden, Security, On-site Restaurant/Café","24-hour concierge, kids’ club, beach access, water sports, valet parking",Four temperature-controlled pools,Private beach with Dubai skyline views,Willow Stream Spa with Mayan treatments,11,Fairmont,Luxurious beachfront oasis with breathtaking Arabian Gulf views and world-class elegance.,"Offering breathtaking views of the Arabian Gulf and direct beach access, this luxurious residence boasts a stunning infinity pool and exquisite dining options."
Fairmont La Marina Rabat Salé Hotel & Residences,https://www.fairmont.com/rabat/accommodations/,"Boulevard de la Marina, Salé 11000, Morocco.",1750000,875,1200000,3500000,2000,35,2023,completed,high,no,yes,92,Salé,Morocco,"Fitness center, spa facilities, marina lounge, private terraces","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","24-hour concierge, marina access, kids’ club, rooftop terrace, valet parking",Rooftop infinity pool with marina views,La Marina dining options,Fairmont Spa with hammam,10,Fairmont,Luxuriate in stunning riverfront views and exquisite Moroccan-inspired elegance at this haven.,"This luxurious residence boasts breathtaking river and ocean views, complemented by exclusive access to private beach facilities and exquisite dining options."
Fairmont Tremblant,https://www.fairmont.com/tremblant/accommodations/,"3035 Chemin de la Chapelle, Mont-Tremblant, QC J8E 1E1, Canada.",1500000,1000,1100000,2500000,1500,20,1996,completed,high,yes,yes,93,Mont-Tremblant,Canada,"Golf course, fitness center, ski-in/ski-out access, spa facilities","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café, Golf","Kids’ club, outdoor hot tubs, ski valet, hiking trails, valet parking",Ski-in/ski-out access to Mont-Tremblant,Outdoor heated pools and hot tubs,Two nearby championship golf courses,11,Fairmont,"Where alpine elegance meets ski-in/ski-out luxury, surrounded by breathtaking mountain vistas.","Overlooking the stunning Mont-Tremblant slopes, this residence offers unparalleled ski-in/ski-out access and breathtaking panoramic views."
Fairmont Heritage Place,https://www.fairmontresidencesthecedars.com/,"1000 Fairmont Way, Hendersonville, NC 28739, United States.",1800000,900,550000,4000000,2000,126,2026,under construction,high,yes,yes,92,Hendersonville,United States,"Fitness center, spa facilities, private terraces, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Valet parking, cooking school, family lounge, outdoor pursuits, event spaces",Resort-style swimming pools,"2,980 sq ft fitness center and spa",Blue Ridge Mountain-view terraces,10,Fairmont,Discover luxurious mountain residences with breathtaking views and unparalleled privacy in nature.,"Overlooking stunning mountain vistas, this exclusive residence features luxurious amenities and personalized services, ensuring an unparalleled living experience."
Fairmont Residences,https://www.fairmontresidencesphoenix.com/,39 East Jackson Street,2250000,1125,1500000,5000000,2000,151,2025,under construction,high,yes,yes,92,Phoenix,United States,"Private terraces, fitness center, spa facilities, residents’ lounge","Swimming Pool, Gym, Parking Space/Garage, Security, On-site Restaurant/Café","Hot tub, valet parking, rooftop terrace, personal training, doorman service",Rooftop pool with mountain views,Exclusive spa facilities,Downtown Phoenix dining options,10,Fairmont,Discover unparalleled desert luxury with panoramic mountain views and world-class amenities.,"Offering breathtaking panoramic views of the Phoenix skyline, these residences feature private terraces and unparalleled access to lush, landscaped gardens."
