residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet_friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Six Senses Residences,https://www.sixsenses.com/en/residences/london/,"Six Senses Residences London, 18-19 Broome Street, London, W1S 3HX, United Kingdom.",3800000,2375,1900000,7500000,1600,14,2025,under construction,high,yes,yes,92,London,UK,Panoramic Views Private Elevator Fitness Room / Gym Chef’s Kitchen Home Office Spa / Wellness Area Private Balcony / Terrace Residents’ Lounge,On-site Restaurant/Café Security Staff Gated Community Concierge Services Parking Space/Garage Rooftop Amenities Housekeeping Services Spa Gym Valet Parking Wellness Programs Shared Lounges Business Center Event Spaces/Banquet Halls Cinema/Screening Room,,Spa,Concierge Services,Rooftop Amenities,,Six Senses,Indulge in luxurious living with breathtaking views of the Thames River.,"Offering breathtaking views of the Thames and unparalleled wellness amenities, this residence redefines luxury living in London."
Sofitel Residences,https://accor-residences.com/property/sofitel-residences-baru/,"Calle 1, Isla Barú, Barú, Cartagena, Bolívar, 130017, Colombia",1200000,400,750000,2000000,3000,36,2022,completed,high,yes,yes,95,Cartagena,Colombia,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Biking/Running Trails, Event Spaces/Banquet Halls",,Private Beach Access,On-site Restaurant/Café,Spa,,Sofitel,A serene paradise blending lush tropical beauty with ultra-luxurious beachfront living.,"Overlooking pristine beaches and lush landscapes, these residences boast private infinity pools and direct access to untouched nature."
Soneva Fushi Private Residences,https://soneva.com/explore/soneva-villa-ownership/private-residences/,"Kunfunadhoo Island, Baa Atoll, 06190, Maldives",4500000,900,2000000,10000000,5000,20,1995,completed,high,yes,no,94,Baa Atoll,Maldives,"Private Pool, Wine Cellar / Wine Room, Home Theater, Private Elevator, Spa / Wellness Area, Private Garage, Game Room / Entertainment Area, Home Office, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Tennis Courts, Kids' Play Area, Biking/Running Trails, Event Spaces/Banquet Halls, Green Spaces/Parks, Cinema/Screening Room, Sports Facilities",,Private Beach Access,Spa,Cinema/Screening Room,,Soneva,Immerse in unparalleled luxury with eco-friendly villas featuring personal marine sanctuaries.,"Set amidst pristine beaches and lush greenery, these exclusive residences boast breathtaking ocean views and unparalleled privacy."
Soneva Jani Private Residences,https://soneva.com/explore/soneva-villa-ownership/private-residences/,"Medhufaru Island, Noonu Atoll, 06220, Maldives",6000000,1200,3000000,15000000,5000,25,2016,completed,high,yes,no,93,Noonu Atoll,Maldives,"Private Pool, Wine Cellar / Wine Room, Home Theater, Spa / Wellness Area, Game Room / Entertainment Area, Home Office, Chef’s Kitchen, Outdoor Kitchen / BBQ Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Biking/Running Trails, Event Spaces/Banquet Halls, Green Spaces/Parks, Cinema/Screening Room, Sports Facilities",,Private Beach Access,Spa,On-site Restaurant/Café,,Soneva,Discover unparalleled luxury with stunning overwater villas featuring private infinity pools and slides.,"These stunning private residences boast unparalleled lagoon views, infinity pools, and direct access to pristine, unspoiled beaches."
The Residences at The St. Regi,https://www.theresidenceclub.com/st-regis-aspen-residence-club.html,"315 E Dean St, Aspen, CO 81611, USA",5000000,2500,3000000,10000000,2000,25,2004,completed,high,yes,yes,95,Aspen,United States,"Spa / Wellness Area, Fitness Room / Gym, Chef’s Kitchen, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Pet-Friendly Facilities",,Spa,Concierge Services,On-site Restaurant/Café,,St. Regis,Indulge in unrivaled alpine luxury with private ski-in/ski-out access.,"Offering breathtaking panoramic mountain views and direct access to world-class skiing, this residence features luxurious amenities and personalized services."
The Residences at The St. Regis Bahia Mar,https://relatedgroup.com/properties/the-st-regis-residences-bahia-mar/,"2500 E Las Olas Blvd, Fort Lauderdale, FL 33301, United States",2800000,1400,1500000,5000000,2000,60,2027,planned,high,yes,yes,88,Fort Lauderdale,United States,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Marina/Yacht Club, Private Beach Access, Housekeeping Services, Spa, Green Spaces/Parks",,Private Beach Access,Marina/Yacht Club,Spa,,St. Regis,Indulge in unparalleled luxury with breathtaking oceanfront views and bespoke amenities.,"Offering breathtaking ocean views and direct beach access, this residence features luxurious amenities and unparalleled privacy in a prime location."
The St. Regis Residences,https://srresidenceshouston.com/,"1919 Briar Oaks Lane, Houston, TX 77027, USA",3500000,1750,2000000,6000000,2000,95,2027,under construction,medium,yes,yes,91,Houston,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Pet-Friendly Facilities",,Concierge Services,Spa,On-site Restaurant/Café,,St. Regis,Indulge in luxurious living with stunning skyline views and unparalleled amenities.,"Offering breathtaking skyline views and unparalleled access to Houston's vibrant arts district, this residence features luxurious amenities and bespoke services."
"The St. Regis Residences, Casares",https://srrcostadelsol.com/,"Urbanización Finca Cortesin, Casares, Málaga, 29690, Spain",4200000,1615,2700000,6500000,2600,75,2026,under construction,high,yes,yes,90,Costa del Sol,Spain,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Golf Course Access, Housekeeping Services, Spa, Tennis Courts, Green Spaces/Parks",,Golf Course Access,Spa,Concierge Services,,St. Regis,Embrace unparalleled Mediterranean luxury with private beach access and world-class golf.,"Offering breathtaking Mediterranean views and private access to a pristine beach, this residence redefines luxury living on the Costa del Sol."
The Residences at The St. Regis Kanai Resort,https://marriottresidences.com/luxury_brand/st-regis-residences/?utm_source=residences-referral,"Paseo Kanai 15, Solidaridad, Playa del Carmen, Quintana Roo, 77730, Mexico",3000000,1500,1800000,5000000,2000,32,2023,completed,high,yes,yes,94,Playa del Carmen,Mexico,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Event Spaces/Banquet Halls",,Private Beach Access,Spa,On-site Restaurant/Café,,St. Regis,Discover oceanfront luxury with breathtaking views and exclusive private beach access.,"Overlooking the stunning Caribbean coastline, these residences boast expansive terraces, private plunge pools, and unparalleled access to pristine beaches."
The Residences at The St. Regis Turks & Caicos Resort,https://srresidencestci.com/,"1 W Grace Bay Rd, Providenciales, TKCA 1ZZ, Turks and Caicos Islands",6500000,2000,3500000,12000000,3250,62,2027,planned,high,yes,yes,89,Providenciales,Turks and Caicos Islands,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Private Cabanas, Beach Club, Beachfront Villas, Residents’ Lounge","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Kids' Play Area, Green Spaces/Parks",,Private Beach Access,Spa,Concierge Services,,St. Regis,Indulge in luxurious beachfront living with breathtaking ocean views and exquisite amenities.,"Offering breathtaking ocean views and private access to pristine beaches, this residence features luxurious amenities and unparalleled exclusivity."
