residence_name,website_url,address,avg_price_per_unit,avg_price_per_sqft,budget_start_range,budget_end_range,floor_area_sqft,no_of_units,build_year,development_status,rental_potential,pet friendly,accessible,confidence score,city,country,feature_names,amenity_names,other_amenities,highlighted_amenity1,highlighted_amenity2,highlighted_amenity3,ameneties_count,associated_brand,brief_subtitle,brief_description
Tierra Viva,https://verdinproperty.com/new-developments/tierra-viva-lamborghini-residences/,"Calle de la Chumbera, 4, 29679 Benahavís, Málaga, Spain",4200000,1050,3800000,5000000,4000,53,2027,under construction,high,yes,yes,97,Malaga,Spain,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Theater, Wine Cellar / Wine Room, Private Garage, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Green Spaces/Parks, 24-Hour Butler Service",Car Elevator,Concierge Services,Spa,Green Spaces/Parks,,Lamborghini,Immerse yourself in luxurious living with breathtaking mountain views and exquisite design.,"Tierra Viva in Benahavís boasts breathtaking panoramic mountain views, luxurious amenities, and a prime location near exclusive golf courses and nature trails."
"Tonino Lamborghini Residences, Meydan One","https://www.luxhabitat.ae/developments/dubai/tonino-lamborghini-residences/
 https://www.gulflandproperty.com/tonino-lamborghini-residences","1 Al Meydan Rd, Nad Al Sheba 1, Meydan, Dubai, 487952, United Arab Emirates",1500000,1250,817000,3500000,1200,250,2022,completed,high,yes,yes,98,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",,Concierge Services,Spa,Rooftop Amenities,,Lamborghini,Immerse yourself in opulent design and seamless luxury overlooking Dubai’s iconic skyline.,"Offering breathtaking views of the iconic skyline and a luxurious lifestyle, this residence features exclusive amenities and unparalleled access to vibrant city life."
"Tonino Lamborghini Residences, Al Marjan Island","https://marjanisland-ae.com/tonino-lamborghini-residences/
 https://www.gulflandproperty.com/tonino-lamborghini-residences","Al Marjan Island, Ras Al Khaimah, 31108, United Arab Emirates",1000000,1000,500000,3000000,1000,241,2027,under construction,high,yes,yes,96,Ras Al Khaimah,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities",,Private Beach Access,Rooftop Amenities,Event Spaces/Banquet Halls,,Lamborghini,Elevate your lifestyle with unparalleled luxury amid stunning Arabian Gulf views.,"Offering stunning panoramic views of the Arabian Gulf, these residences feature private beach access and unparalleled luxury amenities."
Dubai Hills Vista Villas by Lamborghini,"https://properties.emaar.com/en/properties/dubai-hills-vista/
 https://www.gulflandproperty.com/tonino-lamborghini-residences","Dubai Hills Estate, Mohammed Bin Rashid City, Dubai, 487952, United Arab Emirates",10000000,1250,8000000,12000000,8000,40,2024,completed,high,yes,yes,98,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Private Garage, Outdoor Kitchen / BBQ Area, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Golf Course Access, Green Spaces/Parks",24-Hour Butler Service,Golf Course Access,Spa,Concierge Services,,Lamborghini,Indulge in luxurious living with breathtaking views and bespoke architectural elegance.,These luxurious villas boast breathtaking panoramic views of the Dubai skyline and exclusive access to private golf courses.
Tonino Lamborghini Residences,https://lamborghini.it/en-int/pages/project-real-estate-balneario-camboriu,"Avenida Atlântica, 4240, Centro, Balneário Camboriú, SC, 88330-002, Brazil",2500000,1000,1500000,4000000,2500,67,2023,completed,high,yes,yes,99,Camboriú,Brazil,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Beachfront Villas, Home Office, Wine Cellar / Wine Room, Outdoor Kitchen / BBQ Area","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Private Beach Access, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Kids' Play Area, Marina/Yacht Club, Cold Storage/Package Rooms","Heated Pool, Electric Vehicle Charging",Private Beach Access,Spa,Marina/Yacht Club,,Lamborghini,"Redefining luxury living, this architectural masterpiece boasts unrivaled oceanfront elegance.","Offering breathtaking ocean views and luxurious amenities, this residence features a rooftop infinity pool and exclusive private beach access."
Tonino Lamborghini Apartments,https://lamborghini.it/en-int/pages/project-real-estate-san-paulo-brasil,"Avenida Brigadeiro Faria Lima, 2170, Jardim Paulistano, São Paulo, SP, 01451-001, Brazil",2000000,1333,1200000,3500000,1500,100,2026,under construction,high,yes,yes,94,São Paulo,Brazil,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Home Office, Butler’s Pantry / Service Kitchen, Wine Cellar / Wine Room, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Cold Storage/Package Rooms",Electric Vehicle Charging Stations,On-site Restaurant/Café,Business Center,Spa,,Lamborghini,Discover unparalleled luxury with panoramic city views from your private sky terrace.,"Boasting stunning panoramic views of the city skyline, these residences feature bespoke interiors and unparalleled amenities for a luxurious lifestyle."
Tonino Lamborghini Hotels & Residences,https://lamborghini.it/en-int/pages/project-real-estate-chengdu,"No. 66 Jincheng Avenue, High-tech Zone, Chengdu, Sichuan, 610041, China",1500000,1000,1000000,3000000,1500,500,2023,completed,high,yes,yes,96,Chengdu,China,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Private Garage","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Green Spaces/Parks, Art Gallery/Exhibition Space",24-Hour Butler Service,Concierge Services,Spa,Art Gallery/Exhibition Space,,Lamborghini,"Immerse yourself in luxurious elegance, where contemporary design meets breathtaking mountain views.","Offering breathtaking views of the city skyline and exclusive access to luxurious amenities, this residence redefines urban living."
"Tonino Lamborghini Residences, New Capital",https://lamborghini.it/en-int/pages/real-estate,,,,,,,,2019,planned,high,,,,New Capital,Egypt,,,,,,,,Lamborghini,Immerse in ultra-modern elegance where Italian sophistication meets visionary urban design.,"These luxurious residences boast breathtaking panoramic views of lush greenery and the vibrant city skyline, enhancing urban living."
Mercedes-Benz Places,https://miami.mercedesbenzplaces.com,"1910 Alton Rd, Miami Beach, FL 33139, United States",3500000,1750,1500000,20000000,2000,791,2027,under construction,high,yes,yes,99,Miami,United States,"Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office, Butler’s Pantry / Service Kitchen","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cold Storage/Package Rooms",Electric Vehicle Charging Stations,Rooftop Amenities,Business Center,Spa,,Mercedes-Benz,Discover unparalleled luxury with breathtaking ocean views and innovative architectural design.,"This luxurious residence boasts breathtaking waterfront views, private rooftop terraces, and exclusive access to a vibrant cultural scene."
Mercedes-Benz Places by Binghatti,,"1 Sheikh Mohammed bin Rashid Blvd, Downtown Dubai, Dubai, 487952, United Arab Emirates",6750000,1800,2400000,21500000,3750,150,2026,under construction,high,yes,yes,99,Dubai,UAE,"Private Pool, Spa / Wellness Area, Fitness Room / Gym, Panoramic Views, Private Balcony / Terrace, Residents’ Lounge, Chef’s Kitchen, Private Elevator, Infinity Pool, Home Office","On-site Restaurant/Café, Security Staff, Gated Community, Gym, Concierge Services, Parking Space/Garage, Housekeeping Services, Spa, Business Center, Shared Lounges, Event Spaces/Banquet Halls, Rooftop Amenities, Cinema/Screening Room, Cold Storage/Package Rooms","Electric Vehicle Charging Stations, Automated Valet Parking",Concierge Services,Spa,Rooftop Amenities,,Mercedes-Benz,Discover unparalleled luxury living with breathtaking skyline views and exquisite design.,This luxurious residence boasts breathtaking panoramic views of the Dubai skyline and exclusive amenities like a rooftop infinity pool and private gardens.
